,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers
0,1,1,0.5794605465233326,0.7805666666666666,9.546074390411377,11.560656309127808,0.01,100,0
1,2,1,0.5525219422082106,0.7885833333333333,10.55731201171875,10.738399744033813,0.01,100,1
2,3,1,0.537636643871665,0.7941166666666667,9.256455898284912,9.467848539352417,0.01,100,2
3,4,1,0.5448901252448559,0.79285,9.140314817428589,9.470607042312622,0.01,100,4
4,5,1,0.5756842494259278,0.7789833333333334,9.372262477874756,9.94209909439087,0.01,100,8
5,6,1,0.5507498716314634,0.7925666666666666,9.786679029464722,10.822041511535645,0.01,100,16
6,7,1,1.0113544871409734,0.60785,8.181899547576904,8.81912350654602,0.01,1000,0
7,8,1,1.0025618175665538,0.6214333333333333,7.624650239944458,8.454854726791382,0.01,1000,1
8,9,1,1.0958627313375473,0.5809,6.105536937713623,7.06278920173645,0.01,1000,2
9,10,1,0.9599104175964991,0.6310333333333333,6.20107626914978,7.5756988525390625,0.01,1000,4
10,11,1,0.9089706490437189,0.64935,6.321060419082642,8.569769144058228,0.01,1000,8
11,12,1,0.9889995296796162,0.6225333333333334,6.743102073669434,9.97413682937622,0.01,1000,16
12,13,1,2.0768824021021524,0.21608333333333332,9.089075088500977,13.706095457077026,0.01,10000,0
13,14,1,2.171865185101827,0.19048333333333334,8.363791227340698,14.241620540618896,0.01,10000,1
14,15,1,2.1522698402404785,0.18171666666666667,7.490499973297119,14.613247156143188,0.01,10000,2
15,16,1,2.2071714401245117,0.15716666666666668,7.62311577796936,16.14384937286377,0.01,10000,4
16,17,1,2.052194039026896,0.2734333333333333,7.696203231811523,17.36352825164795,0.01,10000,8
17,18,1,2.1393866737683616,0.2379,8.6090087890625,17.909838438034058,0.01,10000,16
