,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.992875803510348,0.6200666666666667,8.194866180419922,8.831222295761108,0.01,1000,True
1,1,2,0.49792521496613823,0.8123833333333333,8.287176847457886,17.25144338607788,0.01,1000,True
2,1,3,0.4108491465449333,0.8491333333333333,8.225430011749268,25.61168098449707,0.01,1000,True
3,1,4,0.3747188324729602,0.8607833333333333,8.34080958366394,34.08457565307617,0.01,1000,True
4,1,5,0.3469405949115753,0.8721166666666667,8.378311395645142,42.60474181175232,0.01,1000,True
5,2,1,1.0556188762187957,0.5955166666666667,8.239128828048706,8.840412855148315,0.01,1000,False
6,2,2,0.5570111821095148,0.7821166666666667,8.338158130645752,17.327412366867065,0.01,1000,False
7,2,3,0.46607584406932195,0.8278833333333333,8.39064621925354,25.850688219070435,0.01,1000,False
8,2,4,0.409344449142615,0.8493666666666667,8.237871646881104,34.22310829162598,0.01,1000,False
9,2,5,0.36894322037696836,0.8634833333333334,8.216341257095337,42.57278561592102,0.01,1000,False
10,3,1,1.2986009518305461,0.5045666666666667,8.176903247833252,9.378609657287598,0.01,2000,True
11,3,2,0.6172981878121694,0.76185,8.37059760093689,17.888612270355225,0.01,2000,True
12,3,3,0.5098393897215525,0.80445,8.353794813156128,26.382490396499634,0.01,2000,True
13,3,4,0.4538580964008967,0.83155,8.293856382369995,34.815178871154785,0.01,2000,True
14,3,5,0.4123773336410522,0.8487166666666667,8.355814218521118,43.31875705718994,0.01,2000,True
15,4,1,1.269457725683848,0.5214,8.248618841171265,9.422474145889282,0.01,2000,False
16,4,2,0.6660523017247518,0.7411333333333333,8.318652391433716,17.880627870559692,0.01,2000,False
17,4,3,0.5527240872383118,0.78655,8.222601890563965,26.23922896385193,0.01,2000,False
18,4,4,0.4969904730717341,0.8134166666666667,8.288781642913818,34.677855014801025,0.01,2000,False
19,4,5,0.45675012469291687,0.8329666666666666,8.099473476409912,42.92008852958679,0.01,2000,False
